"LILY #931","5HqnMsRYdyd3f3sEqryiHvupmv9bSEsvDGac1LNCz8Yw","0.0","MagicEden V2","51D123CSdD66Z6cktAG2Z4APEbDgus4J9kKD9daNht2rENEac3QxPgC8i6hib4aFMAnvVg9VdoqQrihKxRfZmKFz","13.65","Bm5QuiNZJzVJMy4GCaVxu5RFLauzZnzYgWJ2qYmyDyX"
"LILY #4843","GbXYVtwLJZPAjpULpct1xxvMbjKf39JXPihXy58LdSJ","0.0","MagicEden V2","4N6J7s92tRtnJ1CgyNupKV1z9L3KEh3iaQULVQnm3ardGFqXFASw8iiAfZ2CmLFChG7aE9n9KJG47ytVKhapfeLC","14.5","AX3qinLC5CtjhrAhoBi6Gynsp9s6kKpK7p4CN7kYRNUo"
"LILY #8504","4DkEaTyj4WDNuCTkAWNY4unqcLFtAAdd3yHAqqdtPqWf","0.0","MagicEden V2","54iXUwYA212Xx4PqAP9zLYn2M7AmT5jJqBRgJnnj8qWBB7eh4EmMNEJWXWXvV3cjtNubECt6GzLsWtsRR11srcUq","14.12","FhUn3tXFN5JrPvkULt2xB6KR45ar4ok86RScN18C8PeU"
"LILY #6503","572vamLt8Nby9XKSSmUWQd562BnQDnKVpwNus2v3ETcA","0.0","MagicEden V2","irgcBiRzPfBPDP81L2MG5Wrv1YgB2fPEesvwcByrs8y5FkNgWmLbw43LidRENk3Tz1HKC85R2h5FLr6D4iLqcTi","13.75","GRTbGwgx4e8coqvQcZCfLhbDW5v1MtF1A78zWr9F14Sv"
"LILY #9198","9CUpoWoR9o52rKWhibiR3DqdMpgRcABcmFPgffGo9DWE","0.0","MagicEden V2","2UfDE7HKifGT5QaZ1Z4jUhgGy6Mpv54BQGAqWVri8yifNB6VAhRJDb8gbiDHGGH8AX2XsjDmW3RGRVNpuD5K7ECf","13.8","CieqWy9Ti1yR8V73HotSoqRa1WB2UxfYNTgthBW3kxrx"
"LILY #6192","8zjhdAkK2oJgNJcy4crnwf2PxMCzzTQrpM7PawiEjkv7","0.0","MagicEden V2","5cY8REe7cdRfkvYZA1bvUqBv6KKiW644zB6qR2Fi7aZACyir1NTXDdbNRoojCCcrbLrdpRJ4M2xa1VS2hm4jeDcW","13.95","ABXwAu2qAo3P1kzbjMJehbPsrpGSAuEKJcM8iNmpPa5k"
"LILY #9410","6EZX3g929yaMJYv4Zs1SwFFb9Y22dj66KCJrXS5HWfDc","0.0","MagicEden V2","49ZCyfqWy6EhhvidZNawp3sYprAHtSkyu7FKYQZtfTTsJNXnSvutfiUekLDefTf9pkgJct7fpKkETpaStbxPKSE5","13.9","SnuVnJeJDv1uwMa6PsguM4Ppjcyo1WULu28ezrh7QmZ"
"LILY #809","4886sWZQTra7qkd6NmpP5D6CuTowtYjrNnzCL4416oEX","0.0","MagicEden V2","5ZZDYAE1rvhcfBCQ4rz7wY8uCC6yQBFab6aD8TAtxndi6oHCb8FD4QQzqUqoYE1fbz2qH8EcZ3uSjWN7YhpBipM4","13.849","EgeiuN8gMp674G2si9Dk4CzrYPatmrTuFQhYbHaZrjoW"
"LILY #3287","EraFWzd9QWT3YQARQ5mJM1ASADZhHBHHzvCVizmX9GB9","0.0","MagicEden V2","5VGrHG5adjq2opsYso5sCegikaVJxPsF2Nh4sngtmzjkcFB1o3h76SN2TTPJQpSJJMvjqfVYS1mLbWjte11z8e3q","13.9","7rSYCfiToWo6XG7i6VXz3KfY3vU1gWeeG4UMAU8KVmMN"
"LILY #9260","CDvozntpbUbxptFk6HiDvwE7bVYy4a2Geak7mx9LcSVF","0.0","MagicEden V2","3CTStJ6bptM4uBfpYAj1zQ5okW1TgEyhijyj5dQqcCLnNsdKALHGooFRu1UVyuazsUS32TkEAotf7KGinik5QfF9","13.88","7zRxZbVHrK1jYLufqahQv1oNj3f5DAU4JMrNSqYgPPSo"
"LILY #496","HQHDFokVc2WVw3aL3aEE8h2nuYVsbzaFcZizLbX7wp4A","0.0","MagicEden V2","BzKxzfe2Us1y1SHaidhVKjh4DSid7tbbwHJLc2LVEy52MnRNFKxRKAi1cXa7Ncq4LGGGTERTapY8vaHCbeBJ8Rx","13.85","CjuQKVU2b4Uq8XpNB3oqM3Cf1LFh315thKUgis1f3DBb"
"LILY #7914","H4SuEcx4LqA7rtmkt7UnEzaP2mPU95NahUzi49i2RqBR","0.0","MagicEden V2","3nhDKMbDhA521fiMG5qRPAK5sJhtXrNTNLUD36kgYeJL1uUm2gi2mLWFZt8LGHTF3EgfedVt9eYZTtSHRs8QNtZ6","13.75","6gW7nVxYuukNAjkGErKjSL9PSswLuJGPS5Rk1yCiZKTn"
"LILY #1246","Fg9U4fAcxXowf1BngMtVzuFpvzNjNoo6UHtf5dMsjidg","0.0","MagicEden V2","2BE3HYUjEZkPAPNCAQzxiCe69mygJdGBYPTzwxY9yxSQq2SLmMdxaxncqrRGZusAQysRCu6kVQudATNADeqz7j2c","14.25","9wHeiEkyH8XRmn5E41DTfJ6WrP61XLAf4YcterWXEFRK"
"LILY #68","E1UKwDk2sH6YK7Db5mkJzK4cKx1Dc7GeCMRzgavzSxQm","0.0","MagicEden V2","FcN67LLifYhbL37BAPebiq1YdwcS6n9fiQpCYcPhn2MTqcWhxR4zrrscHExG6RDsUr6XNtaEv4PQin6j8StmbWx","16.0","CqHtBv8b3jjDtcXbTjLJUia7J8dRhRaDsj5cqc91NmJi"
"LILY #5415","6zbqqUEoz2UPuHgpTDcEmuWtWhM9haX2GJY52AVW8iQx","0.0","MagicEden V2","RBHg59QLH5eeo3Xi4DHLsgPhBqTq8SodwjuwaHsU5ftjWgJPG9km3s85sPSNDXsi4QwT1rAFzsqfCeHXKYrL3NU","13.8","E5cxTnDaCQzU9Xog3be7G9pZxBEy7yYprUxYLt7tMTDX"
